catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
586593931,ILCE-1,FE 600mm F4 GM OSS,1000,600 mm,Flash did not fire,f/5.6,1/1250 sec,2000 pixels x 1600 pixels,229.52 KB,,,,,Short-crested Coquette,Lophornis brachylophus,Anthony Lujan,2023-06-12,2023,5.0,27,North America,5.0
164430521,NIKON D7500,200.0-500.0 mm f/5.6,1000,500 mm,"Flash did not fire, auto",f/5.6,1/250 sec,3107 pixels x 2101 pixels,3.19 MB,,,,,Golden-crowned Warbler,Basileuterus culicivorus,Giovan Alex,2019-06-15,2019,5.0,41,South America,5.0
608734836,NIKON D500,200.0-500.0 mm f/5.6,1800,450 mm,Flash did not fire,f/8.0,1/1600 sec,5410 pixels x 3607 pixels,4.47 MB,,,,,White-tufted Grebe,Rollandia rolland,Tomas Vasquez,2023-07-06,2023,5.0,80,South America,5.0
62488911,Canon EOS 7D,EF300mm f/4L IS USM,400,300 mm,"Flash did not fire, auto",f/7.1,1/640 sec,3631 pixels x 2042 pixels,2.88 MB,,,,,Eurasian Dotterel,Eudromias morinellus,Stein Nilsen,2017-06-20,2017,5.0,29,Europe,5.0
115666591,NIKON D500,200.0-500.0 mm f/5.6,400,500 mm,Flash did not fire,f/8.0,1/1000 sec,1200 pixels x 800 pixels,767.85 KB,,,,,Kori Bustard,Ardeotis kori,Francisco Ahedo Fernandez,2017-11-11,2017,5.0,21,Africa,5.0
603188401,ILCE-1,Sony FE 200–600mm F5.6–6.3 G OSS (SEL200600G),3200,205 mm,Flash did not fire,f/5.6,1/125 sec,3000 pixels x 2000 pixels,5.77 MB,,,,,Barred Owl,Strix varia,David Mou,2023-07-23,2023,5.0,28,North America,5.0
539626311,Canon EOS 2000D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,800,600 mm,Flash did not fire,f/6.3,1/640 sec,6000 pixels x 4000 pixels,6.5 MB,,,,,Smew,Mergellus albellus,Richard Peteranderl,2023-02-26,2023,5.0,27,Europe,5.0
50011261,NIKON D7100,300.0 mm f/4.0,1000,420 mm,"Flash did not fire, auto",f/6.3,1/320 sec,2880 pixels x 1920 pixels,2.59 MB,,,,,Crested Tit,Lophophanes cristatus,Johan Nilsson,2017-03-04,2017,5.0,32,Europe,5.0
625053749,E-M1MarkII,OLYMPUS M.300mm F4.0,1600,300 mm,Flash did not fire,f/8.0,1/500 sec,3705 pixels x 2779 pixels,5.48 MB,,,,,Red-necked Grebe,Podiceps grisegena,Steve Wickliffe,2024-07-26,2024,5.0,34,North America,5.0
65914711,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1000,400 mm,"Flash did not fire, auto",f/5.6,1/400 sec,4855 pixels x 3237 pixels,5.1 MB,,,,,Wood Stork,Mycteria americana,Tom Hince,2017-08-12,2017,5.0,33,North America,5.0
204357571,NIKON D7100,,400,500 mm,"Flash did not fire, auto",f/6.3,1/1250 sec,3497 pixels x 2331 pixels,3.13 MB,,,,,Amur Falcon,Falco amurensis,Ruben Gaasenbeek,2016-02-07,2016,5.0,24,Africa,5.0
613084109,NIKON D7200,100.0-400.0 mm f/4.5-6.3,1000,400 mm,Flash did not fire,f/8.0,1/400 sec,4517 pixels x 3011 pixels,6.86 MB,,,,,Kentish Plover,Anarhynchus alexandrinus,Nicolás  Magdalena García,2024-01-04,2024,5.0,86,Europe,5.0
623219781,NIKON D7500,150.0-600.0 mm f/5.0-6.3,20000,600 mm,Flash did not fire,f/8.0,1/1250 sec,2048 pixels x 1365 pixels,3.71 MB,,,,,Chestnut-backed Tanager,Stilpnia preciosa,Raphael Kurz -  Aves do Sul,2024-08-31,2024,5.0,43,South America,5.0
101405341,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM +1.4x III,400,560 mm,"Flash did not fire, auto",f/8.0,1/1000 sec,4142 pixels x 2761 pixels,4.13 MB,,,,,Rock Pratincole,Glareola nuchalis,Christopher Sloan,2017-12-08,2017,5.0,22,Africa,5.0
620650949,Canon EOS 7D Mark II,EF400mm f/5.6L USM +1.4x III,800,560 mm,Flash did not fire,f/8.0,1/60 sec,2400 pixels x 1600 pixels,896.22 KB,,,,,Burrowing Owl (Southern),Athene cunicularia [cunicularia Group],Ariel Cabrera Foix,2024-06-20,2024,5.0,94,South America,5.0
144226511,Canon EOS 5D Mark III,EF200-400mm f/4L IS USM EXT,1250,560 mm,"Flash did not fire, auto",f/5.6,1/640 sec,5760 pixels x 3840 pixels,5.31 MB,,,,,Rameron Pigeon,Columba arquatrix,Eric Barnes,2015-11-26,2015,5.0,22,Africa,5.0
621141656,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,8000,500 mm,Flash did not fire,f/7.1,1/1000 sec,4337 pixels x 2893 pixels,4.66 MB,,,,,Kentucky Warbler,Geothlypis formosa,Joe Ballschneider,2024-07-04,2024,5.0,28,North America,5.0
565893431,Canon EOS R10,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1000,600 mm,Flash did not fire,f/7.1,1/1250 sec,2689 pixels x 1793 pixels,2.55 MB,,,,,Sanderling,Calidris alba,Jon  Sola,2023-04-26,2023,5.0,29,Europe,5.0
608493710,NIKON D7100,150.0-600.0 mm f/5.0-6.3,1000,600 mm,Flash did not fire,f/6.3,1/1600 sec,4853 pixels x 3235 pixels,5.3 MB,,,,,Gilt-edged Tanager,Tangara cyanoventris,Marcos Eugênio Birding Guide,2023-09-02,2023,5.0,96,South America,5.0
234803971,PENTAX K-3,450 mm f/--,320,450 mm,"Flash did not fire, auto",f/5.6,1/500 sec,3385 pixels x 2251 pixels,1.75 MB,,,,,Cerulean Warbler,Setophaga cerulea,Pam Linge,2020-05-13,2020,5.0,38,North America,5.0
625302477,Canon EOS-1D X Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1250,600 mm,Flash did not fire,f/7.1,1/640 sec,3207 pixels x 2138 pixels,1.15 MB,,,,,Long-billed Dowitcher,Limnodromus scolopaceus,Willem Span,2024-10-22,2024,5.0,37,North America,5.0
212608351,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1600,349 mm,"Flash did not fire, auto",f/8.0,1/500 sec,3320 pixels x 2369 pixels,421.69 KB,,,,,White-backed Night Heron,Calherodius leuconotus,Richard Webber,2020-02-08,2020,5.0,21,Africa,5.0
338071601,NIKON D7500,200.0-500.0 mm f/5.6,250,500 mm,Flash did not fire,f/5.6,1/2000 sec,2321 pixels x 1730 pixels,3.87 MB,,,,,Ruby-throated Hummingbird,Archilochus colubris,Bob Reiter,2021-05-14,2021,5.0,27,North America,5.0
102470021,Canon EOS 7D Mark II,EF300mm f/4L IS USM,800,300 mm,"Flash did not fire, auto",f/5.6,1/160 sec,5111 pixels x 3407 pixels,6.16 MB,,,,,Green Honeycreeper,Chlorophanes spiza,Luiz Matos,2018-05-23,2018,5.0,37,South America,5.0
545689621,NIKON Z 9,NIKKOR Z 600mm f/4 TC VR S,1000,840 mm,Flash did not fire,f/5.6,0.04 sec,4242 pixels x 2828 pixels,7.95 MB,,,,,Eastern Screech-Owl,Megascops asio,Alphonsus Deodatus,2023-03-14,2023,5.0,27,North America,5.0
204862651,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,148 mm,"Flash did not fire, auto",f/8.0,1/640 sec,2810 pixels x 1878 pixels,4.24 MB,,,,,Southern Giant-Petrel,Macronectes giganteus,Phillip Edwards,2016-11-28,2016,5.0,37,South America,5.0
621188099,NIKON Z 9,NIKKOR Z 800mm f/6.3 VR S Z TC-1.4x,1600,1120 mm,Flash did not fire,f/10.0,1/1600 sec,4947 pixels x 3298 pixels,2.74 MB,,,,,Australian Painted-Snipe,Rostratula australis,Heyn de Kock,2023-12-06,2023,5.0,23,Australia,5.0
523032941,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,640,500 mm,Flash did not fire,f/7.1,1/1250 sec,6180 pixels x 4122 pixels,826.04 KB,,,,,Wood Duck,Aix sponsa,Seth Konner,2023-01-11,2023,5.0,36,North America,5.0
330952391,NIKON D7100,200.0-500.0 mm f/5.6,1000,440 mm,Flash did not fire,f/6.3,1/400 sec,3330 pixels x 2220 pixels,2.03 MB,,,,,Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,Poojan Gohil,2021-04-11,2021,5.0,96,Asia,5.0
448832361,Canon EOS 5D Mark IV,500mm F4 DG OS HSM | Sports 016,200,500 mm,Flash did not fire,f/8.0,1/800 sec,3390 pixels x 4237 pixels,5.52 MB,,,,,Yellow-billed Spoonbill,Platalea flavipes,Mark WRIGHT,2022-04-24,2022,5.0,24,Australia,5.0
619514684,ILCE-7RM5,FE 200-600mm F5.6-6.3 G OSS,1250,600 mm,Flash did not fire,f/6.3,1/800 sec,3808 pixels x 2538 pixels,532.18 KB,,,,,Swift Parrot,Lathamus discolor,Claire Watson,2024-05-03,2024,5.0,25,Australia,5.0
524981751,NIKON D500,200.0-500.0 mm f/5.6,800,500 mm,Flash did not fire,f/5.6,1/800 sec,4788 pixels x 3102 pixels,8.68 MB,,,,,Snail Kite,Rostrhamus sociabilis,Arjun Subramanian,2022-12-22,2022,5.0,27,North America,5.0
185279211,COOLPIX P900,,140,170 mm,"Flash did not fire, auto",f/5.6,1/500 sec,4003 pixels x 2669 pixels,2.56 MB,,,,,Song Sparrow,Melospiza melodia,Charlotte M,2019-10-31,2019,5.0,35,North America,5.0
516348451,NIKON D500,200.0-500.0 mm f/5.6,2800,500 mm,Flash did not fire,f/5.6,1/320 sec,4318 pixels x 2429 pixels,628.8 KB,,,,,White-necked Jacobin,Florisuga mellivora,Jordan Broadhead,2022-11-10,2022,5.0,39,North America,5.0
474769241,NIKON D7500,,280,400 mm,Flash did not fire,f/9.0,1/1600 sec,4272 pixels x 2848 pixels,5.76 MB,,,,,Silver Gull,Chroicocephalus novaehollandiae,Trevor Ross,2019-08-26,2019,5.0,28,Australia,5.0
115759301,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,320,400 mm,"Flash did not fire, auto",f/5.6,1/2500 sec,3232 pixels x 2433 pixels,3.32 MB,,,,,Brown-capped Rosy-Finch,Leucosticte australis,Joel Such,2018-07-31,2018,5.0,27,North America,5.0
189507541,Canon EOS 70D,EF400mm f/5.6L USM,4000,400 mm,"Flash did not fire, auto",f/5.6,1/1600 sec,3047 pixels x 2467 pixels,2.49 MB,,,,,Tit-like Dacnis,Xenodacnis parina,Tom Armstrong,2019-05-21,2019,5.0,40,South America,5.0
615307148,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,4000,506 mm,Flash did not fire,f/6.3,1/200 sec,2000 pixels x 1333 pixels,540.59 KB,,,,,Ochre-collared Piculet,Picumnus temminckii,Martjan Lammertink,2024-02-25,2024,5.0,97,South America,5.0
612735891,MODEL-NAME,FE 600mm F4 GM OSS,2500,600 mm,Flash did not fire,f/4.0,1/2500 sec,4055 pixels x 2703 pixels,4.81 MB,,,,,Little Kingfisher,Ceyx pusillus,Wasu Vidayanakorn,2023-12-27,2023,5.0,26,Australia,5.0
335636821,NIKON D4,,400,105 mm,Flash did not fire,f/5.0,1/800 sec,3248 pixels x 1956 pixels,2.34 MB,,,,,Trumpeter Swan,Cygnus buccinator,Raymond Ladurantaye,2021-05-08,2021,4.99,87,North America,4.99
613944517,Canon EOS R5,EF600mm f/4L IS III USM,320,600 mm,Flash did not fire,f/4.0,1/4000 sec,7515 pixels x 5010 pixels,7.25 MB,,,,,Greater Flamingo,Phoenicopterus roseus,Maxime Légaré-Vézina,2023-05-03,2023,4.99,82,Europe,4.99
623163719,Canon EOS 80D,EF400mm f/5.6L USM,320,400 mm,Flash did not fire,f/5.6,1/800 sec,5027 pixels x 4000 pixels,3.04 MB,,,,,Long-tailed Jaeger,Stercorarius longicaudus,Brent Bomkamp,2024-08-31,2024,4.99,80,North America,4.99
271102321,NIKON D750,24.0-120.0 mm f/4.0,100,78 mm,Flash did not fire,f/9.0,1/250 sec,4004 pixels x 4004 pixels,7.79 MB,,,,,King Penguin,Aptenodytes patagonicus,Shailesh Pinto,2017-12-02,2017,4.99,123,Antarctica,4.99
585120321,Canon EOS 90D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,320,600 mm,Flash did not fire,f/6.3,1/2000 sec,3123 pixels x 2342 pixels,5.81 MB,,,,,European Bee-eater,Merops apiaster,Andrés  Rojas Sánchez,2023-06-15,2023,4.99,78,Europe,4.99
550536311,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,2500,500 mm,Flash did not fire,f/7.1,1/6400 sec,5096 pixels x 3621 pixels,2.15 MB,,,,,Greater Sage-Grouse,Centrocercus urophasianus,August Hazel,2023-03-25,2023,4.99,170,North America,4.99
589604701,Canon EOS 90D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,500,313 mm,Flash did not fire,f/6.3,1/2000 sec,3480 pixels x 2320 pixels,2.37 MB,,,,,Common Murre,Uria aalge,Atlee Hargis,2023-06-29,2023,4.99,72,North America,4.99
519369401,ILCE-9,FE 200-600mm F5.6-6.3 G OSS,12800,600 mm,Flash did not fire,f/10.0,1/200 sec,5223 pixels x 2938 pixels,3.51 MB,,,,,Rufous-collared Kingfisher,Actenoides concretus,John Clough,2023-01-02,2023,4.99,249,Asia,4.99
617732567,Canon EOS R5,RF600mm F4 L IS USM,2500,600 mm,Flash did not fire,f/4.0,1/2000 sec,4260 pixels x 2841 pixels,3.95 MB,,,,,Himalayan Monal,Lophophorus impejanus,Chris Venetz | Ornis Birding Expeditions,2024-04-09,2024,4.99,340,Asia,4.99
615221876,NIKON D850,150.0-600.0 mm f/5.0-6.3,4500,600 mm,Flash did not fire,f/7.1,1/800 sec,6528 pixels x 4352 pixels,9.38 MB,,,,,Northern Shoveler,Spatula clypeata,Kieran Barlow,2024-02-23,2024,4.99,161,North America,4.99
625708916,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,800,500 mm,Flash did not fire,f/7.1,1/500 sec,5779 pixels x 3855 pixels,12.94 MB,,,,,Blue Jay,Cyanocitta cristata,Mark Sak,2024-10-27,2024,4.99,94,North America,4.99
594776821,Canon EOS 80D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,250,361 mm,Flash did not fire,f/5.6,1/1000 sec,6000 pixels x 3375 pixels,4.91 MB,,,,,White-tailed Ptarmigan,Lagopus leucura,Garrett Hughes,2023-07-16,2023,4.99,88,North America,4.99
385010961,Canon EOS 80D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,800,500 mm,Flash did not fire,f/8.0,1/1000 sec,3772 pixels x 2515 pixels,3.96 MB,,,,,Pearl-spotted Owlet,Glaucidium perlatum,Peter  Steward,2021-10-30,2021,4.99,74,Africa,4.99
400749631,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,100,400 mm,Flash did not fire,f/5.6,1/500 sec,4126 pixels x 2832 pixels,1.04 MB,,,,,Semipalmated Plover,Charadrius semipalmatus,Aaron Graham,2021-12-28,2021,4.99,76,North America,4.99
507857751,NIKON D500,200.0-500.0 mm f/5.6,5000,480 mm,Flash did not fire,f/5.6,1/125 sec,4371 pixels x 2914 pixels,3.8 MB,,,,,Reddish-winged Bare-eye,Phlegopsis erythroptera,Priscilla Diniz,2022-11-27,2022,4.99,92,South America,4.99
612830170,Canon EOS 7D Mark II,EF300mm f/4L IS USM,100,300 mm,Flash did not fire,f/4.0,1/125 sec,3902 pixels x 2601 pixels,3.88 MB,,,,,Allen's Hummingbird,Selasphorus sasin,Max Breshears,2023-12-30,2023,4.99,86,North America,4.99
386570451,NIKON D850,500.0 mm f/5.6,360,500 mm,Flash did not fire,f/5.6,1/1600 sec,2048 pixels x 1366 pixels,649.87 KB,,,,,Bat Falcon,Falco rufigularis,Gabriel Cordón,2021-11-07,2021,4.99,80,North America,4.99
598557551,NIKON D500,200.0-500.0 mm f/5.6,1600,500 mm,Flash did not fire,f/5.6,1/800 sec,2451 pixels x 1634 pixels,2.67 MB,,,,,Common Loon,Gavia immer,Ethan Rising,2023-07-29,2023,4.99,128,North America,4.99
615005866,Canon EOS Rebel T6,100-400mm F5-6.3 DG OS HSM | Contemporary 017,1600,400 mm,Flash did not fire,f/8.0,1/320 sec,4164 pixels x 2776 pixels,8.83 MB,,,,,Rufous-and-white Wren,Thryophilus rufalbus,José Orozco,2024-02-17,2024,4.99,106,North America,4.99
579413791,Canon EOS R5,EF300mm f/2.8L IS II USM +1.4x III,500,420 mm,Flash did not fire,f/5.6,1/200 sec,2048 pixels x 1366 pixels,1.14 MB,,,,,Siberian Thrush,Geokichla sibirica,Kasia & Takashi Someya,2023-05-12,2023,4.99,75,Asia,4.99
627040755,NIKON D7500,200.0-500.0 mm f/5.6,100,500 mm,Flash did not fire,f/6.3,1/320 sec,3600 pixels x 2571 pixels,3.92 MB,,,,,Black-and-white Hawk-Eagle,Spizaetus melanoleucus,Andrés Paniagua,2024-11-17,2024,4.99,148,South America,4.99
399017941,Canon EOS REBEL T3i,150-600mm F5-6.3 DG OS HSM | Contemporary 015,500,600 mm,Flash did not fire,f/8.0,1/1000 sec,3601 pixels x 2400 pixels,3.9 MB,,,,,LeConte's Sparrow,Ammospiza leconteii,Sean Cowden,2021-12-23,2021,4.99,138,North America,4.99
617227873,Canon EOS R3,EF600mm f/4L IS III USM,1600,600 mm,Flash did not fire,f/4.0,1/3200 sec,4428 pixels x 2952 pixels,8.04 MB,,,,,Atlantic Puffin,Fratercula arctica,Grzegorz Długosz,2023-07-04,2023,4.99,145,Europe,4.99
376317981,NIKON D500,300.0 mm f/2.8,400,300 mm,Flash did not fire,f/3.5,1/640 sec,3152 pixels x 1773 pixels,1.31 MB,,,,,Krüper's Nuthatch,Sitta krueperi,Alper Tüydeş,2021-10-09,2021,4.99,72,Asia,4.99
340960551,NIKON D7500,,560,500 mm,Flash did not fire,f/5.6,1/8000 sec,5164 pixels x 3443 pixels,3.15 MB,,,,,White-tailed Ptarmigan,Lagopus leucura,Josiah Verbrugge,2021-01-30,2021,4.99,140,North America,4.99
81037651,Canon EOS 7D,EF400mm f/5.6L USM,400,400 mm,"Flash did not fire, auto",f/7.1,1/2500 sec,2824 pixels x 1882 pixels,2.49 MB,,,,,Savannah Sparrow (Ipswich),Passerculus sandwichensis princeps,Samuel Paul Galick,2018-01-07,2018,4.99,99,North America,4.99
613742715,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,4000,428 mm,Flash did not fire,f/6.3,1/3200 sec,3496 pixels x 2332 pixels,1.1 MB,,,,,Mourning Dove,Zenaida macroura,James Tornetta,2024-01-19,2024,4.99,126,North America,4.99
623308688,Canon EOS 80D,EF70-300mm f/4-5.6L IS USM,640,214 mm,Flash did not fire,f/6.3,1/2500 sec,4812 pixels x 3208 pixels,3.19 MB,,,,,Steller's Sea-Eagle,Haliaeetus pelagicus,Sila Viriyautsahakul,2019-02-20,2019,4.99,92,Asia,4.99
624442056,Canon EOS 60D,EF70-200mm f/2.8L IS USM +2x III,800,190 mm,Flash did not fire,f/5.6,1/1000 sec,5184 pixels x 3456 pixels,9.62 MB,,,,,Flammulated Owl,Psiloscops flammeolus,Christopher Fleming,2024-09-30,2024,4.98,65,North America,4.98
407928941,ILCE-6300,E 70-350mm F4.5-6.3 G OSS,640,350 mm,Flash did not fire,f/6.3,1/125 sec,5475 pixels x 3650 pixels,3.56 MB,,,,,Snowy Plover,Anarhynchus nivosus,Grigory Heaton,2022-01-17,2022,4.98,372,North America,4.98
312139561,Canon EOS Rebel T6s,EF400mm f/5.6L USM,800,400 mm,Flash did not fire,f/7.1,1/3200 sec,3615 pixels x 2410 pixels,6.84 MB,,,,,Boreal Owl,Aegolius funereus,Neil Denton,2021-02-27,2021,4.98,60,North America,4.98
611613146,NIKON D500,300mm f/4,200,300 mm,Flash did not fire,f/4.0,1/3200 sec,2806 pixels x 1871 pixels,4.93 MB,,,,,Providence Petrel,Pterodroma solandri,Emily Jenkins,2023-11-24,2023,4.98,61,Australia,4.98
428560501,NIKON D500,150.0-600.0 mm f/5.0-6.3,800,460 mm,Flash did not fire,f/7.1,1/2000 sec,2364 pixels x 1576 pixels,2.77 MB,,,,,Bonaparte's Gull,Chroicocephalus philadelphia,Tim Arthur,2021-11-11,2021,4.98,51,North America,4.98
610686358,NIKON D7500,200.0-500.0 mm f/5.6,400,500 mm,Flash did not fire,f/6.3,1/2500 sec,3544 pixels x 2363 pixels,3.72 MB,,,,,Arabian Green Bee-eater,Merops cyanophrys,Rotem Avisar,2023-11-03,2023,4.98,40,Asia,4.98
622203210,NIKON Z 8,VR 500mm f/4E,280,500 mm,Flash did not fire,f/4.0,1/800 sec,4719 pixels x 3146 pixels,8.92 MB,,,,,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Matthew Addicks,2024-07-20,2024,4.98,196,North America,4.98
372564221,Canon EOS 7D Mark II,EF600mm f/4L IS II USM +1.4x III,1600,840 mm,Flash did not fire,f/6.3,1/2000 sec,2421 pixels x 1729 pixels,1.47 MB,,,,,Ruby-throated Hummingbird,Archilochus colubris,Ryan Yann,2021-09-25,2021,4.98,65,North America,4.98
625979288,NIKON Z 8,NIKKOR Z 180-600mm f/5.6-6.3 VR,3600,600 mm,Flash did not fire,f/6.3,1/1600 sec,3975 pixels x 3180 pixels,10.59 MB,,,,,Scissor-tailed Flycatcher,Tyrannus forficatus,Lisa Miller,2024-11-03,2024,4.98,204,North America,4.98
612654987,NIKON Z 9,NIKKOR Z 400mm f/4.5 VR S,800,400 mm,Flash did not fire,f/4.5,1/2000 sec,1800 pixels x 1241 pixels,1.45 MB,,,,,Royal Penguin,Eudyptes schlegeli,Mark Lethlean,2023-12-10,2023,4.98,168,Australia,4.98
346657991,Canon EOS 5D Mark IV,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,Flash did not fire,f/7.1,1/5000 sec,2027 pixels x 1351 pixels,1.74 MB,,,,,Thick-billed Grasswren,Amytornis modestus,Peter Kyne,2021-06-08,2021,4.98,91,Australia,4.98
608379892,NIKON Z 8,AF-S NIKKOR 500mm f/5.6E PF ED VR,2800,700 mm,Flash did not fire,f/8.0,1/4000 sec,4441 pixels x 2961 pixels,5.15 MB,,,,,Brown Noddy,Anous stolidus,Ron Buening,2023-09-01,2023,4.98,63,North America,4.98
625735257,NIKON Z 9,VR 500mm f/4E,640,500 mm,Flash did not fire,f/4.0,1/2000 sec,3800 pixels x 2305 pixels,2.49 MB,,,,,Bearded Vulture,Gypaetus barbatus,Pavel Štěpánek,2024-02-08,2024,4.98,95,Europe,4.98
529013301,Canon EOS R5,RF600mm F4 L IS USM,1250,600 mm,Flash did not fire,f/11.0,1/400 sec,3060 pixels x 2186 pixels,4.34 MB,,,,,Keel-billed Toucan,Ramphastos sulfuratus,Arpit Bansal,2023-01-09,2023,4.98,303,North America,4.98
578770761,Canon EOS 80D,EF70-300mm f/4-5.6 IS II USM,100,300 mm,Flash did not fire,f/8.0,1/500 sec,3025 pixels x 2017 pixels,3.15 MB,,,,,Little Gull,Hydrocoloeus minutus,Robert Irwin,2023-05-29,2023,4.98,58,North America,4.98
167661331,Canon PowerShot SX60 HS,,200,247 mm,"Flash did not fire, auto",f/6.5,1/1600 sec,4283 pixels x 3212 pixels,8.57 MB,,,,,Short-toed Rock-Thrush,Monticola brevipes,John Hall,2019-06-18,2019,4.98,57,Africa,4.98
579379431,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,2000,500 mm,Flash did not fire,f/7.1,1/400 sec,3000 pixels x 2000 pixels,2.4 MB,,,,,Red-and-white Crake,Rufirallus leucopyrrhus,Thelma Gátuzzô,2023-05-28,2023,4.98,117,South America,4.98
609495566,NIKON Z 9,AF-S NIKKOR 500mm f/5.6E PF ED VR,640,500 mm,Flash did not fire,f/6.3,1/1600 sec,4335 pixels x 2929 pixels,2.48 MB,,,,,Radde's Warbler,Phylloscopus schwarzi,Shigeyuki Mukawa,2023-09-29,2023,4.98,48,Asia,4.98
627491786,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,6400,500 mm,Flash did not fire,f/7.1,1/2000 sec,2964 pixels x 1977 pixels,2.33 MB,,,,,Swallow-tailed Gull,Creagrus furcatus,Mark Stephenson,2024-12-13,2024,4.98,47,North America,4.98
359822961,NIKON D500,Nikon AF-S Nikkor 200-500mm f/5.6E ED VR,900,500 mm,Flash did not fire,f/5.6,0.02 sec,3752 pixels x 2501 pixels,3.49 MB,,,,,Common Cuckoo,Cuculus canorus,Tomáš Grim,2021-08-07,2021,4.98,48,Europe,4.98
89042321,NIKON D7200,,250,420 mm,"Flash did not fire, auto",f/5.6,1/1600 sec,4214 pixels x 2815 pixels,3.67 MB,,,,,Black Oystercatcher,Haematopus bachmani,Andy Reago &  Chrissy McClarren,2018-02-26,2018,4.98,52,North America,4.98
579218581,NIKON Z 6_2,VR 300mm f/4E,1100,300 mm,Flash did not fire,f/4.0,1/3200 sec,3560 pixels x 2369 pixels,5.32 MB,,,,,Fiery-throated Hummingbird,Panterpe insignis,Deborah Bifulco,2023-05-16,2023,4.98,264,North America,4.98
357594031,NIKON D750,,400,600 mm,Flash did not fire,f/5.6,1/400 sec,3342 pixels x 2387 pixels,4.59 MB,,,,,White-throated Fantail,Rhipidura albicollis,Supratim Mukherjee,2018-11-11,2018,4.98,45,Asia,4.98
621034387,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,2500,400 mm,Flash did not fire,f/7.1,1/1250 sec,2560 pixels x 1707 pixels,3.04 MB,,,,,Common Murre,Uria aalge,Katarzyna Kucharska,2023-07-03,2023,4.98,101,Europe,4.98
436620081,NIKON D7100,,800,600 mm,Flash did not fire,f/7.1,1/2000 sec,2949 pixels x 2451 pixels,946.82 KB,,,,,Pied Avocet,Recurvirostra avosetta,Taylor Abbott,2022-04-10,2022,4.98,41,Europe,4.98
532590091,Canon EOS R7,RF100-400mm F5.6-8 IS USM,800,400 mm,Flash did not fire,f/8.0,1/3200 sec,2784 pixels x 2088 pixels,6.15 MB,,,,,Pallid Swift,Apus pallidus,Alex Alaman,2023-02-03,2023,4.98,51,Asia,4.98
580650141,COOLPIX P900,,100,196 mm,Flash did not fire,f/5.6,1/800 sec,4475 pixels x 3196 pixels,2.87 MB,,,,,Black-crowned Night Heron,Nycticorax nycticorax,Andrés Alfaro,2023-06-03,2023,4.98,41,Europe,4.98
615567458,NIKON D500,500.0 mm f/5.6,640,500 mm,Flash did not fire,f/5.6,1/1000 sec,3748 pixels x 2839 pixels,3.32 MB,,,,,Smooth-billed Ani,Crotophaga ani,Kyle Matera,2024-03-02,2024,4.98,192,North America,4.98
299886251,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,100,400 mm,Flash did not fire,f/5.6,1/800 sec,3976 pixels x 2651 pixels,1.6 MB,,,,,Harlequin Duck,Histrionicus histrionicus,Kojo Baidoo,2021-01-18,2021,4.98,296,North America,4.98
162041181,NIKON D7100,300.0 mm f/4.0,320,300 mm,"Flash did not fire, auto",f/4.0,1/800 sec,3567 pixels x 2523 pixels,884.84 KB,,,,,Black-throated Green Warbler,Setophaga virens,Ronnie d'Entremont,2019-05-31,2019,4.98,311,North America,4.98
520343771,NIKON Z 9,AF-S NIKKOR 500mm f/5.6E PF ED VR,5000,500 mm,Flash did not fire,f/5.6,1/30 sec,2400 pixels x 1687 pixels,2.87 MB,,,,,Nilgiri Sholakili,Sholicola major,Rakesh Das,2022-12-28,2022,4.98,43,Asia,4.98
